TV#,A,B,C,D,E,Batch Size
1,30%,32%,7%,27%,29%,2
2,34%,37%,20%,31%,37%,4
3,34%,46%,24%,37%,39%,6
4,35%,47%,34%,37%,43%,8
5,35%,47%,42%,43%,49%,10
6,35%,53%,45%,44%,53%,12
7,35%,54%,45%,44%,55%,14
8,35%,55%,46%,53%,60%,16
9,35%,57%,51%,54%,62%,18
10,35%,58%,51%,55%,63%,20
11,35%,62%,52%,55%,64%,22
12,35%,62%,53%,55%,70%,24
13,35%,62%,53%,55%,72%,26
14,35%,62%,53%,55%,75%,28
15,35%,62%,54%,55%,75%,30
16,35%,62%,54%,56%,76%,32
17,37%,63%,54%,56%,77%,34
18,37%,63%,57%,56%,77%,36
19,38%,65%,57%,56%,79%,38
20,39%,65%,59%,59%,83%,40
21,39%,65%,59%,59%,83%,42
22,39%,65%,60%,59%,84%,44
23,39%,66%,60%,59%,84%,46
24,39%,66%,60%,59%,84%,48
25,39%,66%,60%,59%,84%,50
