TV#,A,B,C,D,E,Batch Size
1,35%,47%,34%,37%,43%,8
2,35%,55%,46%,53%,60%,16
3,35%,62%,53%,55%,70%,24
4,35%,62%,54%,56%,76%,32
5,39%,65%,59%,59%,83%,40
6,39%,66%,60%,59%,84%,48
7,40%,67%,62%,59%,85%,56
8,41%,67%,66%,59%,85%,64
9,41%,73%,68%,59%,87%,72
10,41%,74%,73%,59%,87%,80
11,41%,74%,74%,59%,89%,88
12,41%,76%,74%,59%,90%,96
13,41%,76%,74%,59%,90%,104
14,41%,76%,74%,59%,90%,112
15,42%,76%,75%,60%,90%,120
16,42%,76%,81%,61%,90%,128
17,42%,82%,82%,61%,90%,136
18,42%,82%,82%,61%,90%,144
19,42%,83%,84%,62%,90%,152
20,42%,83%,84%,62%,90%,160
21,42%,83%,84%,62%,90%,168
22,42%,83%,84%,62%,90%,176
23,42%,83%,84%,62%,90%,184
24,42%,83%,84%,62%,91%,192
25,42%,83%,85%,62%,91%,200
